Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,
,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,ADC
PortA,PA0,,TIM2_CH1/TIM2_ETR,TIM5_CH1,TIM8_ETR,TIM15_BKIN,,,USART2_CTS/USART2_NSS,UART4_TX,SDMMC2_CMD,SAI2_SD_B,ETH_CRS,,,,EVENTOUT,ADC1_INP16,
PortA,PA0_C,,,,,,,,,,,,,,,,EVENTOUT,ADC1_INP16,
PortA,PA1,,TIM2_CH2,TIM5_CH2,LPTIM3_OUT,TIM15_CH1N,,,USART2_DE/USART2_RTS,UART4_RX,QUADSPI_BK1_IO3,SAI2_MCLK_B,ETH_REF_CLK/ETH_RX_CLK,,,LTDC_R2,EVENTOUT,ADC1_INN16/ADC1_INP17,
PortA,PA10,,TIM1_CH3,HRTIM_CHC2,LPUART1_RX,,,,USART1_RX,,,USB_OTG_FS_ID,MDIOS_MDIO,LTDC_B4,DCMI_D1,LTDC_B1,EVENTOUT,,
PortA,PA11,,TIM1_CH4,HRTIM_CHD1,LPUART1_CTS,,I2S2_WS/SPI2_NSS,UART4_RX,USART1_CTS/USART1_NSS,,FDCAN1_RX,USB_OTG_FS_DM,,,,LTDC_R4,EVENTOUT,,
PortA,PA12,,TIM1_ETR,HRTIM_CHD2,LPUART1_DE/LPUART1_RTS,,I2S2_CK/SPI2_SCK,UART4_TX,USART1_DE/USART1_RTS,SAI2_FS_B,FDCAN1_TX,USB_OTG_FS_DP,,,,LTDC_R5,EVENTOUT,,
PortA,PA13 (JTMS/SWDIO),DEBUG_JTMS-SWDIO,,,,,,,,,,,,,,,EVENTOUT,,
PortA,PA14 (JTCK/SWCLK),DEBUG_JTCK-SWCLK,,,,,,,,,,,,,,,EVENTOUT,,
PortA,PA15 (JTDI),DEBUG_JTDI,TIM2_CH1/TIM2_ETR,HRTIM_FLT1,,CEC,I2S1_WS/SPI1_NSS,I2S3_WS/SPI3_NSS,SPI6_NSS,UART4_DE/UART4_RTS,,,UART7_TX,,DSIHOST_TE,,EVENTOUT,,
PortA,PA1_C,,,,,,,,,,,,,,,,EVENTOUT,ADC1_INN16/ADC1_INP17,
PortA,PA2,,TIM2_CH3,TIM5_CH3,LPTIM4_OUT,TIM15_CH1,,,USART2_TX,SAI2_SCK_B,,,ETH_MDIO,MDIOS_MDIO,,LTDC_R1,EVENTOUT,ADC1_INP14/ADC2_INP14,
PortA,PA3,,TIM2_CH4,TIM5_CH4,LPTIM5_OUT,TIM15_CH2,,,USART2_RX,,LTDC_B2,USB_OTG_HS_ULPI_D0,ETH_COL,,,LTDC_B5,EVENTOUT,ADC1_INP15/ADC2_INP15,
